Year-Quarter,Average Price per Share in Month Ending Quarter,Dividends per Share,Earnings per Share,,Citation
1871-Q1,4.61,0.02,-0.16,,Political Calculations.  Quarterly S&P 500 Data Since 1871-Q1.  http://politicalcalculations.blogspot.com/2013/02/quarterly-data-for-s-500-since-1871.html.  Last Updated 15 February 2013. 
1871-Q2,4.82,0.01,-0.01,,
1871-Q3,4.84,0.15,0.3,,
1871-Q4,4.74,0.08,0.27,,
1872-Q1,5.04,0.03,-0.15,,
1872-Q2,5.13,0.02,0,,
1872-Q3,4.95,0.16,0.3,,
1872-Q4,5.07,0.09,0.28,,
1873-Q1,5.11,0.04,-0.14,,
1873-Q2,4.98,0.03,0.01,,
1873-Q3,4.59,0.16,0.3,,
1873-Q4,4.42,0.1,0.29,,
1874-Q1,4.73,0.04,-0.14,,
1874-Q2,4.46,0.03,0.01,,
1874-Q3,4.54,0.16,0.3,,
1874-Q4,4.54,0.1,0.29,,
1875-Q1,4.59,0.03,-0.16,,
1875-Q2,4.38,0.03,-0.02,,
1875-Q3,4.37,0.15,0.28,,
1875-Q4,4.37,0.09,0.26,,
1876-Q1,4.51,0.03,-0.18,,
1876-Q2,4.15,0.03,-0.04,,
1876-Q3,3.69,0.15,0.26,,
1876-Q4,3.58,0.09,0.24,,
1877-Q1,3.17,0,-0.17,,
1877-Q2,2.73,0.01,-0.04,,
1877-Q3,3.24,0.12,0.27,,
1877-Q4,3.25,0.06,0.24,,
1878-Q1,3.24,0,-0.17,,
1878-Q2,3.41,0.01,-0.03,,
1878-Q3,3.52,0.11,0.27,,
1878-Q4,3.45,0.07,0.24,,
1879-Q1,3.65,0,-0.15,,
1879-Q2,3.96,0.01,-0.01,,
1879-Q3,4.22,0.12,0.28,,
1879-Q4,4.92,0.09,0.26,,
1880-Q1,5.3,0,-0.12,,
1880-Q2,4.79,0.02,0.02,,
1880-Q3,5.18,0.14,0.3,,
1880-Q4,5.84,0.1,0.29,,
1881-Q1,6.24,0.02,-0.13,,
1881-Q2,6.58,0.03,0.01,,
1881-Q3,6.25,0.16,0.28,,
1881-Q4,6.01,0.11,0.28,,
1882-Q1,5.78,0.02,-0.13,,
1882-Q2,5.68,0.03,0.01,,
1882-Q3,6.24,0.16,0.27,,
1882-Q4,5.84,0.11,0.28,,
1883-Q1,5.75,0.02,-0.14,,
1883-Q2,5.82,0.04,0.01,,
1883-Q3,5.53,0.16,0.26,,
1883-Q4,5.34,0.11,0.27,,
1884-Q1,5.3,0.02,-0.16,,
1884-Q2,4.46,0.03,-0.01,,
1884-Q3,4.59,0.16,0.23,,
1884-Q4,4.34,0.1,0.25,,
1885-Q1,4.38,0,-0.17,,
1885-Q2,4.3,0.02,-0.02,,
1885-Q3,4.65,0.14,0.22,,
1885-Q4,5.2,0.08,0.24,,
1886-Q1,5.19,0,-0.15,,
1886-Q2,5.25,0.01,-0.01,,
1886-Q3,5.51,0.14,0.24,,
1886-Q4,5.64,0.08,0.25,,
1887-Q1,5.67,0,-0.14,,
1887-Q2,5.73,0.02,0,,
1887-Q3,5.38,0.14,0.24,,
1887-Q4,5.27,0.09,0.26,,
1888-Q1,5.08,0,-0.16,,
1888-Q2,5.01,0.01,-0.03,,
1888-Q3,5.38,0.14,0.22,,
1888-Q4,5.14,0.08,0.23,,
1889-Q1,5.19,0,-0.15,,
1889-Q2,5.41,0.01,-0.02,,
1889-Q3,5.5,0.13,0.23,,
1889-Q4,5.32,0.08,0.24,,
1890-Q1,5.28,0,-0.15,,
1890-Q2,5.58,0.01,-0.02,,
1890-Q3,5.32,0.13,0.22,,
1890-Q4,4.6,0.08,0.24,,
1891-Q1,4.81,0,-0.14,,
1891-Q2,4.85,0.01,0,,
1891-Q3,5.33,0.13,0.23,,
1891-Q4,5.41,0.08,0.25,,
1892-Q1,5.58,0.01,-0.13,,
1892-Q2,5.54,0.01,0.01,,
1892-Q3,5.48,0.14,0.23,,
1892-Q4,5.51,0.08,0.26,,
1893-Q1,5.31,0.01,-0.16,,
1893-Q2,4.61,0.02,-0.01,,
1893-Q3,4.37,0.14,0.2,,
1893-Q4,4.41,0.08,0.23,,
1894-Q1,4.51,0,-0.18,,
1894-Q2,4.34,0.01,-0.04,,
1894-Q3,4.48,0.13,0.18,,
1894-Q4,4.3,0.07,0.2,,
1895-Q1,4.19,0,-0.16,,
1895-Q2,4.7,0,-0.01,,
1895-Q3,4.82,0.13,0.2,,
1895-Q4,4.32,0.06,0.22,,
1896-Q1,4.38,0,-0.17,,
1896-Q2,4.32,0,-0.02,,
1896-Q3,4.01,0.12,0.19,,
1896-Q4,4.22,0.06,0.21,,
1897-Q1,4.19,0,-0.14,,
1897-Q2,4.27,0,0,,
1897-Q3,4.98,0.12,0.22,,
1897-Q4,4.75,0.07,0.23,,
1898-Q1,4.65,0,-0.13,,
1898-Q2,5.06,0,0.01,,
1898-Q3,5.26,0.13,0.23,,
1898-Q4,5.65,0.08,0.24,,
1899-Q1,6.4,0,-0.1,,
1899-Q2,6.07,0,0.05,,
1899-Q3,6.37,0.13,0.26,,
1899-Q4,6.02,0.12,0.27,,
1900-Q1,6.26,0,-0.1,,
1900-Q2,5.86,0.01,0.05,,
1900-Q3,5.8,0.15,0.26,,
1900-Q4,6.87,0.15,0.27,,
1901-Q1,7.51,0,-0.09,,
1901-Q2,8.5,0.01,0.05,,
1901-Q3,8,0.16,0.27,,
1901-Q4,7.95,0.15,0.27,,
1902-Q1,8.2,0,-0.06,,
1902-Q2,8.41,0.02,0.09,,
1902-Q3,8.85,0.16,0.3,,
1902-Q4,8.05,0.15,0.3,,
1903-Q1,8.08,0.01,-0.08,,
1903-Q2,7.18,0.02,0.06,,
1903-Q3,6.47,0.17,0.28,,
1903-Q4,6.57,0.15,0.27,,
1904-Q1,6.48,0,-0.09,,
1904-Q2,6.51,0.01,0.05,,
1904-Q3,7.32,0.16,0.27,,
1904-Q4,8.25,0.15,0.26,,
1905-Q1,9.05,0,-0.04,,
1905-Q2,8.6,0.01,0.09,,
1905-Q3,9.23,0.17,0.32,,
1905-Q4,9.54,0.17,0.3,,
1906-Q1,9.56,0,-0.02,,
1906-Q2,9.3,0.03,0.12,,
1906-Q3,10.03,0.18,0.34,,
1906-Q4,9.84,0.19,0.32,,
1907-Q1,8.35,0.01,-0.04,,
1907-Q2,7.84,0.04,0.09,,
1907-Q3,7.45,0.19,0.32,,
1907-Q4,6.57,0.2,0.29,,
1908-Q1,6.87,0,-0.06,,
1908-Q2,7.64,0.03,0.07,,
1908-Q3,8.17,0.18,0.3,,
1908-Q4,9.03,0.2,0.27,,
1909-Q1,8.92,0,-0.01,,
1909-Q2,9.8,0.04,0.11,,
