Year-Quarter,sp500_price_mutiplier,sp500_relative_dividend
1871-Q2,1.045553145,0.002074689
1871-Q3,1.004149378,0.030991736
1871-Q4,0.979338843,0.016877637
1872-Q1,1.063291139,0.005952381
1872-Q2,1.017857143,0.003898635
1872-Q3,0.964912281,0.032323232
1872-Q4,1.024242424,0.017751479
1873-Q1,1.007889546,0.007827789
1873-Q2,0.974559687,0.006024096
1873-Q3,0.921686747,0.034858388
1873-Q4,0.962962963,0.022624434
1874-Q1,1.070135747,0.00845666
1874-Q2,0.942917548,0.006726457
1874-Q3,1.01793722,0.035242291
1874-Q4,1,0.022026432
1875-Q1,1.011013216,0.006535948
1875-Q2,0.954248366,0.006849315
1875-Q3,0.997716895,0.034324943
1875-Q4,1,0.020594966
1876-Q1,1.032036613,0.006651885
1876-Q2,0.920177384,0.007228916
1876-Q3,0.889156627,0.040650407
1876-Q4,0.970189702,0.025139665
1877-Q1,0.88547486,0
1877-Q2,0.861198738,0.003663004
1877-Q3,1.186813187,0.037037037
1877-Q4,1.00308642,0.018461538
1878-Q1,0.996923077,0
1878-Q2,1.052469136,0.002932551
1878-Q3,1.032258065,0.03125
1878-Q4,0.980113636,0.020289855
1879-Q1,1.057971014,0
1879-Q2,1.084931507,0.002525253
1879-Q3,1.065656566,0.028436019
1879-Q4,1.165876777,0.018292683
1880-Q1,1.077235772,0
1880-Q2,0.903773585,0.004175365
1880-Q3,1.081419624,0.027027027
1880-Q4,1.127413127,0.017123288
1881-Q1,1.068493151,0.003205128
1881-Q2,1.054487179,0.004559271
1881-Q3,0.949848024,0.0256
1881-Q4,0.9616,0.018302829
1882-Q1,0.961730449,0.003460208
1882-Q2,0.982698962,0.00528169
1882-Q3,1.098591549,0.025641026
1882-Q4,0.935897436,0.018835616
1883-Q1,0.984589041,0.003478261
1883-Q2,1.012173913,0.006872852
1883-Q3,0.950171821,0.028933092
1883-Q4,0.965641953,0.020599251
1884-Q1,0.992509363,0.003773585
1884-Q2,0.841509434,0.006726457
1884-Q3,1.029147982,0.034858388
1884-Q4,0.945533769,0.023041475
1885-Q1,1.00921659,0
1885-Q2,0.98173516,0.004651163
1885-Q3,1.081395349,0.030107527
1885-Q4,1.11827957,0.015384615
1886-Q1,0.998076923,0
1886-Q2,1.011560694,0.001904762
1886-Q3,1.04952381,0.025408348
1886-Q4,1.023593466,0.014184397
1887-Q1,1.005319149,0
1887-Q2,1.010582011,0.003490401
1887-Q3,0.938917976,0.026022305
1887-Q4,0.979553903,0.017077799
